Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Western Australia,Australia,14/11/2022 04:21,-31.9505,115.8605,1189668,720,,,"Western Australia, Australia",45224.20741,0.060521087
,Austria,14/11/2022 04:21,47.5162,14.5501,5491252,21093,,,Austria,60970.55427,0.384120051
,Azerbaijan,14/11/2022 04:21,40.1431,47.5769,823721,9963,,,Azerbaijan,8124.14225,1.209511473
,Bahamas,14/11/2022 04:21,25.025885,-78.035889,37436,833,,,Bahamas,9519.692408,2.22513089
,Bahrain,14/11/2022 04:21,26.0275,50.55,693492,1532,,,Bahrain,40755.69631,0.220910984
,Bangladesh,14/11/2022 04:21,23.685,90.3563,2036166,29427,,,Bangladesh,1236.367496,1.445216156
,Barbados,14/11/2022 04:21,13.1939,-59.5432,103424,560,,,Barbados,35989.71365,0.541460396
,Belarus,14/11/2022 04:21,53.7098,27.9534,994037,7118,,,Belarus,10519.66591,0.716069925
Antwerp,Belgium,14/11/2022 04:21,51.2195,4.4024,745426,0,,,"Antwerp, Belgium",40120.10855,0
Brussels,Belgium,14/11/2022 04:21,50.8503,4.3517,496452,0,,,"Brussels, Belgium",41078.58891,0
East Flanders,Belgium,14/11/2022 04:21,51.0362,3.7373,625930,0,,,"East Flanders, Belgium",41313.76628,0
Flemish Brabant,Belgium,14/11/2022 04:21,50.9167,4.5833,452012,0,,,"Flemish Brabant, Belgium",39436.56073,0
Hainaut,Belgium,14/11/2022 04:21,50.5257,4.0621,507811,0,,,"Hainaut, Belgium",37776.78259,0
Liege,Belgium,14/11/2022 04:21,50.4496,5.8492,412103,0,,,"Liege, Belgium",37227.27897,0
Limburg,Belgium,14/11/2022 04:21,50.9739,5.342,342045,0,,,"Limburg, Belgium",39133.43432,0
Luxembourg,Belgium,14/11/2022 04:21,50.0547,5.4677,120868,0,,,"Luxembourg, Belgium",42463.76099,0
Namur,Belgium,14/11/2022 04:21,50.331,4.8221,198951,0,,,"Namur, Belgium",40247.00349,0
Unknown,Belgium,14/11/2022 04:21,,,62110,32976,,,"Unknown, Belgium",,53.09289969
Walloon Brabant,Belgium,14/11/2022 04:21,50.4,4.35,170104,0,,,"Walloon Brabant, Belgium",42146.78431,0
West Flanders,Belgium,14/11/2022 04:21,51.0536,3.1458,488911,0,,,"West Flanders, Belgium",40885.81999,0
,Belize,14/11/2022 04:21,17.1899,-88.4976,68972,687,,,Belize,17346.16632,0.996056371
,Benin,14/11/2022 04:21,9.3077,2.3158,27912,163,,,Benin,230.2362792,0.583978217
,Bhutan,14/11/2022 04:21,27.5142,90.4336,62430,21,,,Bhutan,8090.853953,0.033637674
,Bolivia,14/11/2022 04:21,-16.2902,-63.5887,1109822,22243,,,Bolivia,9507.575112,2.004195267
,Bosnia and Herzegovina,14/11/2022 04:21,43.9159,17.6791,400185,16184,,,Bosnia and Herzegovina,12197.73136,4.04412959
,Botswana,14/11/2022 04:21,-22.3285,24.6849,326344,2790,,,Botswana,13877.38266,0.85492609
Acre,Brazil,14/11/2022 04:21,-9.0238,-70.812,150055,2029,,,"Acre, Brazil",17014.29244,1.352170871
Alagoas,Brazil,14/11/2022 04:21,-9.5713,-36.782,321709,7131,,,"Alagoas, Brazil",9639.633998,2.216599473
Amapa,Brazil,14/11/2022 04:21,0.902,-52.003,178709,2164,,,"Amapa, Brazil",21130.71414,1.210907117
Amazonas,Brazil,14/11/2022 04:21,-3.4168,-65.8561,620918,14369,,,"Amazonas, Brazil",14981.3842,2.314154204
Bahia,Brazil,14/11/2022 04:21,-12.5797,-41.7007,1705450,30800,,,"Bahia, Brazil",11466.70249,1.805974963
Ceara,Brazil,14/11/2022 04:21,-5.4984,-39.3206,1387542,28013,,,"Ceara, Brazil",15194.15406,2.018893842
Distrito Federal,Brazil,14/11/2022 04:21,-15.7998,-47.8645,844222,11832,,,"Distrito Federal, Brazil",27998.24095,1.401527086
Espirito Santo,Brazil,14/11/2022 04:21,-19.1834,-40.3089,1218518,14836,,,"Espirito Santo, Brazil",30321.57565,1.217544591
Goias,Brazil,14/11/2022 04:21,-15.827,-49.8362,1735109,27593,,,"Goias, Brazil",24722.44917,1.590274732
Maranhao,Brazil,14/11/2022 04:21,-4.9609,-45.2744,475284,10998,,,"Maranhao, Brazil",6717.623196,2.313984902
Mato Grosso,Brazil,14/11/2022 04:21,-12.6819,-56.9211,833011,14958,,,"Mato Grosso, Brazil",23906.4178,1.795654559
Mato Grosso do Sul,Brazil,14/11/2022 04:21,-20.7722,-54.7852,582454,10846,,,"Mato Grosso do Sul, Brazil",20959.22757,1.862121301
Minas Gerais,Brazil,14/11/2022 04:21,-18.5122,-44.555,3885219,63897,,,"Minas Gerais, Brazil",18353.52335,1.644617717
Para,Brazil,14/11/2022 04:21,-1.9981,-54.9306,846950,18895,,,"Para, Brazil",9844.976063,2.230946337
Paraiba,Brazil,14/11/2022 04:21,-7.24,-36.782,655228,10407,,,"Paraiba, Brazil",16306.80165,1.588302087
Parana,Brazil,14/11/2022 04:21,-25.2521,-52.0215,2755904,45458,,,"Parana, Brazil",24102.80186,1.649476905
Pernambuco,Brazil,14/11/2022 04:21,-8.8137,-36.9541,1068886,22427,,,"Pernambuco, Brazil",11184.24254,2.098165754
Piaui,Brazil,14/11/2022 04:21,-7.7183,-42.7289,405043,7960,,,"Piaui, Brazil",12374.42438,1.965223445
